Intervention_type,intervention,Study_count,Date of First Study,N/A,Phase 1,Phase 2,Phase 3,Phase 4,sponsor_counts,Score,NUmber_of_sponsors,NUmber_of_Publications
Drug,control,20,2020-04-27,10,1,6,2,1,"Biosearch S.A. ( 1 )|Cairo University ( 1 )|Centre de Recherche de l'Institut Universitaire en santÃ© Mentale de MontrÃ©al ( 1 )|Columbia University ( 1 )|Fondation Ophtalmologique Adolphe de Rothschild ( 1 )|FundaciÃ³n FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la PromociÃ³n de la Salud y la Ciencia ( 1 )|Hospices Civils de Lyon ( 1 )|Hospital Reg. Lic. Adolfo Lopez Mateos ( 1 )|Icahn School of Medicine at Mount Sinai ( 1 )|International Islamic University Malaysia ( 1 )|Lawson Health Research Institute ( 1 )|PhaseBio Pharmaceuticals Inc. ( 1 )|Shenzhen Geno-Immune Medical Institute ( 1 )|South Valley University ( 1 )|Universidad de Sonora ( 1 )|UniversitÃ© de Sherbrooke ( 1 )|Universiti Tunku Abdul Rahman ( 1 )|University Hospital, Ghent ( 1 )|University Hospital, Strasbourg, France ( 1 )|Yale University ( 1 )",11.02,20,9
Biological,vaccine,10,2021-07-31,3,2,3,1,1,"Beijing 302 Hospital ( 2 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|City of Hope Medical Center ( 1 )|Health Institutes of Turkey ( 1 )|Kocak Farma ( 1 )|Maastricht University Medical Center ( 1 )|Ministry of Public Health, Argentina ( 1 )|Queen Mary University of London ( 1 )|University of Arizona ( 1 )",11.01,9,4
Drug,dexamethasone,28,2020-04-09,2,0,3,14,9,"Assistance Publique - HÃ´pitaux de Paris ( 2 )|ClinAmygate ( 2 )|Assiut University ( 1 )|Bangladesh Institute of Research and Rehabilitation in Diabetes, Endocrine and Metabolic Disorders ( 1 )|Brno University Hospital ( 1 )|Cairo University ( 1 )|Centre Chirurgical Marie Lannelongue ( 1 )|Centre Hospitalier RenÃ© Dubos ( 1 )|Chattogram General Hospital ( 1 )|Chita State Regional Clinical Hospital Number 1 ( 1 )|Dr. Negrin University Hospital ( 1 )|Faron Pharmaceuticals Ltd ( 1 )|FundaciÃ³n Instituto de Estudios de Ciencias de la Salud de Castilla y LeÃ³n ( 1 )|General Practitioners Research Institute ( 1 )|Hospital Sirio-Libanes ( 1 )|Hospital Universitario Infanta Leonor ( 1 )|Instituto de InvestigaciÃ³n Hospital Universitario La Paz ( 1 )|Mateon Therapeutics ( 1 )|National Institute of Allergy and Infectious Diseases (NIAID) ( 1 )|NeuroActiva, Inc. ( 1 )|PharmaMar ( 1 )|Scandinavian Critical Care Trials Group ( 1 )|South Valley University ( 1 )|Universidad Nacional Autonoma de Mexico ( 1 )|University of Oklahoma ( 1 )|University of Trieste ( 1 )",10.028,26,28
Drug,lopinavir,25,2020-05-04,5,0,6,8,6,"Shahid Beheshti University of Medical Sciences ( 3 )|October 6 University ( 2 )|University College, London ( 2 )|ANRS, Emerging Infectious Diseases ( 1 )|Asan Medical Center ( 1 )|Baqiyatallah Medical Sciences University ( 1 )|Beijing 302 Hospital ( 1 )|Cardresearch ( 1 )|Centre Hospitalier Universitaire de Saint Etienne ( 1 )|Fasa University of Medical Sciences ( 1 )|Fundacion GenesisCare ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Guangzhou 8th People's Hospital ( 1 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|Medical University of Vienna ( 1 )|The University of Hong Kong ( 1 )|Tongji Hospital ( 1 )|Unity Health Toronto ( 1 )|University Hospital, Geneva ( 1 )|University of the Philippines ( 1 )|Vanderbilt University Medical Center ( 1 )",10.025,21,22
Drug,colchicine,22,2020-04-29,1,0,9,11,1,"Ayub Teaching Hospital ( 1 )|Azienda Ospedaliero-Universitaria di Parma ( 1 )|ClinAmygate ( 1 )|Dhaka Medical College ( 1 )|Estudios ClÃ­nicos Latino AmÃ©rica ( 1 )|Fundacion Clinic per a la Recerca BiomÃ©dica ( 1 )|Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia ( 1 )|Hawler Medical University ( 1 )|Instituto de InvestigaciÃ³n MarquÃ©s de Valdecilla ( 1 )|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran ( 1 )|Kermanshah University of Medical Sciences ( 1 )|Maimonides Medical Center ( 1 )|Montreal Heart Institute ( 1 )|National and Kapodistrian University of Athens ( 1 )|Population Health Research Institute ( 1 )|Shahid Beheshti University of Medical Sciences ( 1 )|University Hospital Inselspital, Berne ( 1 )|University of California, Los Angeles ( 1 )|University of Oxford ( 1 )|University Of Perugia ( 1 )|University of Sao Paulo ( 1 )|Yale University ( 1 )",10.022,22,15
Drug,enoxaparin,21,2020-04-24,1,0,3,9,8,"ASST Fatebenefratelli Sacco ( 1 )|Brazilian Clinical Research Institute ( 1 )|Cedars-Sinai Medical Center ( 1 )|Central Hospital, Nancy, France ( 1 )|Clinica San Camilo, Argentina ( 1 )|Columbia University ( 1 )|Hospital Regional de Alta especialidad de Ixtapaluca ( 1 )|Icahn School of Medicine at Mount Sinai ( 1 )|IRCCS Azienda Ospedaliero-Universitaria di Bologna ( 1 )|Johns Hopkins All Children's Hospital ( 1 )|Niguarda Hospital ( 1 )|Northwell Health ( 1 )|Rajaie Cardiovascular Medical and Research Center ( 1 )|St. David's HealthCare ( 1 )|The TIMI Study Group ( 1 )|Thrombosis Research Institute ( 1 )|University Hospital, Geneva ( 1 )|University of Melbourne ( 1 )|University of Modena and Reggio Emilia ( 1 )|University of Zurich ( 1 )|Weill Medical College of Cornell University ( 1 )",10.021,21,7
Drug,lopinavir/ritonavir,21,2020-05-04,4,0,5,7,5,"Shahid Beheshti University of Medical Sciences ( 3 )|Asan Medical Center ( 1 )|Baqiyatallah Medical Sciences University ( 1 )|Cardresearch ( 1 )|Centre Hospitalier Universitaire de Saint Etienne ( 1 )|Fundacion GenesisCare ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Guangzhou 8th People's Hospital ( 1 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|Medical University of Vienna ( 1 )|October 6 University ( 1 )|The University of Hong Kong ( 1 )|Tongji Hospital ( 1 )|Unity Health Toronto ( 1 )|University College, London ( 1 )|University Hospital, Geneva ( 1 )|University of Oxford ( 1 )|University of the Philippines ( 1 )|Vanderbilt University Medical Center ( 1 )",10.021,19,25
Drug,methylprednisolone,21,2020-04-17,2,0,5,11,3,Ain Shams University ( 1 )|Assiut University ( 1 )|Auxilio Mutuo Cancer Center ( 1 )|Beijing Chao Yang Hospital ( 1 )|Cairo University ( 1 )|Chattogram General Hospital ( 1 )|Fatima Memorial Hospital ( 1 )|FundaÃ§Ã£o de Medicina Tropical Dr. Heitor Vieira Dourado ( 1 )|FundaciÃ³n Instituto de Estudios de Ciencias de la Salud de Castilla y LeÃ³n ( 1 )|FundaciÃ³n para el Fomento de la InvestigaciÃ³n Sanitaria y BiomÃ©dica de la Comunitat Valenciana ( 1 )|Fundacion Clinic per a la Recerca BiomÃ©dica ( 1 )|Fundacion Miguel Servet ( 1 )|Hospital Universitari de Bellvitge ( 1 )|Peking Union Medical College Hospital ( 1 )|Scandinavian Critical Care Trials Group ( 1 )|The Camelot Foundation ( 1 )|Tongji Hospital ( 1 )|Tulane University ( 1 )|University Children's Hospital Basel ( 1 )|University of Modena and Reggio Emilia ( 1 )|University of Trieste ( 1 ),10.021,21,8
Drug,nitazoxanide,21,2020-04-20,1,0,8,8,4,"Romark Laboratories L.C. ( 3 )|Materno-Perinatal Hospital of the State of Mexico ( 2 )|Universidade Federal do Rio de Janeiro ( 2 )|ANRS, Emerging Infectious Diseases ( 1 )|Assiut University ( 1 )|Azidus Brasil ( 1 )|CoordinaciÃ³n de InvestigaciÃ³n en Salud, Mexico ( 1 )|Corpometria Institute ( 1 )|FundaciÃ³n HuÃ©sped ( 1 )|Laboratorios Roemmers S.A.I.C.F. ( 1 )|Obafemi Awolowo University ( 1 )|Rutgers, The State University of New Jersey ( 1 )|Shin Poong Pharmaceutical Co. Ltd. ( 1 )|Tanta University ( 1 )|University of Cape Town ( 1 )|University of Liverpool ( 1 )|University of Witwatersrand, South Africa ( 1 )",10.021,17,4
Drug,heparin,20,2020-05-04,3,0,5,5,7,"Frederick Health ( 2 )|University of Miami ( 2 )|University of Sao Paulo General Hospital ( 2 )|ARCA Biopharma, Inc. ( 1 )|Australian National University ( 1 )|Brazilian Clinical Research Institute ( 1 )|Clinica San Camilo, Argentina ( 1 )|Columbia University ( 1 )|Fundacion GenesisCare ( 1 )|Grupo de InvestigaciÃ³n ClÃ­nica en OncologÃ­a Radioterapia ( 1 )|Rajaie Cardiovascular Medical and Research Center ( 1 )|University of Kentucky ( 1 )|University of Manitoba ( 1 )|University of Modena and Reggio Emilia ( 1 )|University of Pittsburgh ( 1 )|UPECLIN HC FM Botucatu Unesp ( 1 )|Weill Medical College of Cornell University ( 1 )",10.02,17,34
Drug,chloroquine,19,2020-04-20,1,0,6,8,4,"Tanta University ( 3 )|FundaÃ§Ã£o de Medicina Tropical Dr. Heitor Vieira Dourado ( 2 )|Government of Punjab, Specialized Healthcare and Medical Education Department ( 2 )|Beijing Chao Yang Hospital ( 1 )|Centro de Estudos e Pesquisa em Emergencias Medicas e Terapia Intensiva ( 1 )|Columbia University ( 1 )|Fundacion Clinica Valle del Lili ( 1 )|HaEmek Medical Center, Israel ( 1 )|Medical University of Vienna ( 1 )|Oxford University Clinical Research Unit, Vietnam ( 1 )|UMC Utrecht ( 1 )|Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A. ( 1 )|University of Oxford ( 1 )|Washington University School of Medicine ( 1 )|Wroclaw Medical University ( 1 )",10.019,15,15
Drug,interferon,18,2020-05-06,1,0,9,5,3,"The University of Hong Kong ( 5 )|Shahid Beheshti University of Medical Sciences ( 2 )|Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France ( 1 )|National Institute of Allergy and Infectious Diseases (NIAID) ( 1 )|Novartis ( 1 )|Pontificia Universidad Catolica de Chile ( 1 )|Population Health Research Institute ( 1 )|Roswell Park Cancer Institute ( 1 )|Shanghai Jiao Tong University School of Medicine ( 1 )|Sunnybrook Health Sciences Centre ( 1 )|The Camelot Foundation ( 1 )|Tongji Hospital ( 1 )|University of the Philippines ( 1 )",10.018,13,11
Dietary Supplement,vitamin c,18,2020-04-16,5,0,7,5,1,"ProgenaBiome ( 3 )|University of Washington ( 2 )|Hunter Holmes Mcguire Veteran Affairs Medical Center ( 1 )|Lancaster General Hospital ( 1 )|Ministry of Health, Saudi Arabia ( 1 )|National Institute of Integrative Medicine, Australia ( 1 )|National University Hospital, Singapore ( 1 )|The Canadian College of Naturopathic Medicine ( 1 )|The Cleveland Clinic ( 1 )|Unidad Temporal COVID-19 en Centro Citibanamex ( 1 )|UniversitÃ© de Sherbrooke ( 1 )|University of Lahore ( 1 )|University of Palermo ( 1 )|Virginia Commonwealth University ( 1 )|Zhongnan Hospital ( 1 )",10.018,15,6
Drug,baricitinib,13,2020-04-17,1,0,3,8,1,"National Institute of Allergy and Infectious Diseases (NIAID) ( 2 )|Bangladesh Institute of Research and Rehabilitation in Diabetes, Endocrine and Metabolic Disorders ( 1 )|Cambridge University Hospitals NHS Foundation Trust ( 1 )|Eli Lilly and Company ( 1 )|Hospital of Prato ( 1 )|Hospital Universitario de Fuenlabrada ( 1 )|Instituto de InvestigaciÃ³n Hospital Universitario La Paz ( 1 )|M Abdur Rahim Medical College and Hospital ( 1 )|Nova Scotia Health Authority ( 1 )|University Hospital of Patras ( 1 )|University of Oxford ( 1 )|University of Southern California ( 1 )",10.013,12,20
Drug,zinc,12,2020-04-26,2,0,4,4,2,"ProgenaBiome ( 3 )|Hospital Israelita Albert Einstein ( 1 )|Mansoura University ( 1 )|Ministry of Health, Saudi Arabia ( 1 )|National University Hospital, Singapore ( 1 )|Sheikh Zayed Federal Postgraduate Medical Institute ( 1 )|St. Francis Hospital, New York ( 1 )|Tanta University ( 1 )|The Canadian College of Naturopathic Medicine ( 1 )|The Cleveland Clinic ( 1 )",10.012,10,4
Drug,hydroxychloroquine / azithromycin,11,2020-04-08,1,0,3,6,1,"Institute for Research and Development of Medicinal and Food Plants of Guinea ( 2 )|Alkarkh Health Directorate-Baghdad ( 1 )|Hospital do Coracao ( 1 )|Hospital Israelita Albert Einstein ( 1 )|Ministry of Health, Turkey ( 1 )|Novartis ( 1 )|Rutgers, The State University of New Jersey ( 1 )|The Camelot Foundation ( 1 )|University Hospital, Montpellier ( 1 )|Yaounde Central Hospital ( 1 )",10.011,10,9
Drug,rivaroxaban,10,2020-04-10,1,0,3,4,2,"Bill & Melinda Gates Medical Research Institute ( 1 )|Brazilian Clinical Research Institute ( 1 )|Charite University, Berlin, Germany ( 1 )|Hospital AlemÃ£o Oswaldo Cruz ( 1 )|Imperial College London ( 1 )|Janssen Research & Development, LLC ( 1 )|Medical University of Vienna ( 1 )|Population Health Research Institute ( 1 )|Science Valley Research Institute ( 1 )|St. David's HealthCare ( 1 )",10.01,10,2
Drug,losartan,8,2020-04-11,0,1,3,3,1,University of Minnesota ( 2 )|Bassett Healthcare ( 1 )|Instituto do Cancer do Estado de SÃ£o Paulo ( 1 )|Sharp HealthCare ( 1 )|The Camelot Foundation ( 1 )|University of British Columbia ( 1 )|University of Kansas Medical Center ( 1 ),10.008,7,3
Procedure,therapeutic plasma exchange (tpe),7,2020-04-20,4,0,1,1,1,"UNICEF ( 2 )|Alexandria University ( 1 )|Emory University ( 1 )|Heidelberg University ( 1 )|Prisma Health-Upstate ( 1 )|University of Medicine and Pharmacy ""Victor Babes"" Timisoara ( 1 )",10.007,6,1
Drug,budesonide,6,2020-04-22,1,0,2,2,1,Fasa University of Medical Sciences ( 1 )|Fondation Ophtalmologique Adolphe de Rothschild ( 1 )|Fundacion Clinic per a la Recerca BiomÃ©dica ( 1 )|Mayo Clinic ( 1 )|University of Oxford ( 1 )|University of Pittsburgh ( 1 ),10.006,6,2
Drug,oseltamivir,6,2020-03-25,0,2,1,2,1,Tongji Hospital ( 2 )|Fuzhou General Hospital ( 1 )|Indonesia University ( 1 )|University Hospitals Coventry and Warwickshire NHS Trust ( 1 )|University of Health Sciences Lahore ( 1 ),10.006,5,1
Behavioral,NA,5,2020-04-07,2,0,1,1,1,"AgelessRx ( 1 )|Burnasyan Federal Medical Biophysical Center ( 1 )|Promundo, United States ( 1 )|The Ninth Hospital of Nanchang ( 1 )|University Hospital, Toulouse ( 1 )",10.005,5,243
Drug,pirfenidone,4,2020-02-10,1,0,1,1,1,Institut d'InvestigaciÃ³ BiomÃ¨dica de Bellvitge ( 1 )|Postgraduate Institute of Medical Education and Research ( 1 )|Soroka University Medical Center ( 1 )|Tongji Hospital ( 1 ),10.004,4,1
Biological,bnt162b2,13,2020-05-06,0,0,6,5,2,BioNTech SE ( 8 )|National Institute of Allergy and Infectious Diseases (NIAID) ( 2 )|Canadian Immunization Research Network ( 1 )|Humanity & Health Medical Group Limited ( 1 )|The University of Hong Kong ( 1 ),9.013,5,9
Biological,bcg,13,2020-05-01,0,0,1,7,5,"Bandim Health Project ( 2 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|Hellenic Institute for the Study of Sepsis ( 1 )|Hospital Universitario Dr. Jose E. Gonzalez ( 1 )|Murdoch Childrens Research Institute ( 1 )|Radboud University ( 1 )|Texas A&M University ( 1 )|Tuberculosis Research Centre, India ( 1 )|UMC Utrecht ( 1 )|Universidade Federal do Rio de Janeiro ( 1 )|University of Campinas, Brazil ( 1 )|University of Southern Denmark ( 1 )",9.013,12,4
Biological,coronavac,7,2021-06-24,0,0,2,3,2,Health Institutes of Turkey ( 4 )|Humanity & Health Medical Group Limited ( 1 )|The University of Hong Kong ( 1 )|University of Sao Paulo General Hospital ( 1 ),9.007,4,5
Biological,azd1222,6,2021-07-02,0,0,2,3,1,AstraZeneca ( 3 )|Humanity & Health Medical Group Limited ( 1 )|R-Pharm ( 1 )|Valneva Austria GmbH ( 1 ),9.006,4,3
Drug,sofosbuvir,6,2020-08-01,0,0,2,3,1,"Tanta University ( 2 )|Almaza Military Fever Hospital ( 1 )|Assiut University ( 1 )|Shin Poong Pharmaceutical Co. Ltd. ( 1 )|University of Witwatersrand, South Africa ( 1 )",9.006,5,NA
Drug,doxycycline,5,2020-04-26,0,0,1,1,3,"Dhaka Medical College ( 1 )|International Centre for Diarrhoeal Disease Research, Bangladesh ( 1 )|Max Health, Subsero Health ( 1 )|St. Francis Hospital, New York ( 1 )|Yaounde Central Hospital ( 1 )",9.005,5,1
Drug,sargramostim,5,2020-03-24,0,0,3,1,1,"Partner Therapeutics, Inc. ( 2 )|Nobelpharma ( 1 )|Singapore General Hospital ( 1 )|University Hospital, Ghent ( 1 )",9.005,4,2
Biological,bamlanivimab,5,2020-08-17,0,0,2,1,2,DHR Health Institute for Research and Development ( 1 )|Eli Lilly and Company ( 1 )|Fraser Health ( 1 )|National Institute of Allergy and Infectious Diseases (NIAID) ( 1 )|UnitedHealth Group ( 1 ),9.005,5,NA
Drug,telmisartan,5,2020-04-21,0,0,2,2,1,"Hospital Regional de Alta Especialidad de Zumpango ( 1 )|Laboratorio Elea Phoenix S.A. ( 1 )|University Hospital, Bordeaux ( 1 )|University Hospital, Strasbourg, France ( 1 )|University of Hawaii ( 1 )",9.005,5,3
Biological,inactivated vaccine,4,2021-07-13,0,0,1,2,1,"Sinovac Biotech Co., Ltd ( 2 )|Pontificia Universidad Catolica de Chile ( 1 )|PT Bio Farma ( 1 )",9.004,3,1
Drug,kg,4,2021-05-31,0,0,1,1,2,"aTyr Pharma, Inc. ( 1 )|Clinical Research Centre, Malaysia ( 1 )|Corvus Pharmaceuticals, Inc. ( 1 )|The TIMI Study Group ( 1 )",9.004,4,NA
Drug,cholecalciferol,7,2020-04-09,2,0,0,3,2,"CoordinaciÃ³n de InvestigaciÃ³n en Salud, Mexico ( 2 )|FundaciÃ³n para la InvestigaciÃ³n Biosanitaria del Principado de Asturias ( 1 )|Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado ( 1 )|Kasr El Aini Hospital ( 1 )|University Hospital, Angers ( 1 )|University of Liege ( 1 )",8.007,6,1
Biological,convalescent plasma,110,2020-05-04,18,16,51,25,0,"Johns Hopkins University ( 3 )|Columbia University ( 2 )|Hackensack Meridian Health ( 2 )|Institute of Liver and Biliary Sciences, India ( 2 )|Karolinska University Hospital ( 2 )|University of Pennsylvania ( 2 )|Aga Khan University ( 1 )|Ain Shams University ( 1 )|Alkarkh Health Directorate-Baghdad ( 1 )|Andalusian Network for Design and Translation of Advanced Therapies ( 1 )|Assistance Publique - HÃ´pitaux de Paris ( 1 )|Azienda Ospedaliero, Universitaria Pisana ( 1 )|Azienda Socio Sanitaria Territoriale di Mantova ( 1 )|Bagcilar Training and Research Hospital ( 1 )|Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh ( 1 )|Biofarma ( 1 )|Brigham and Women's Hospital ( 1 )|Cairo University ( 1 )|Cedars-Sinai Medical Center ( 1 )|Centenario Hospital Miguel Hidalgo ( 1 )|Centro de EducaciÃ³n Medica e Investigaciones ClÃ­nicas Norberto Quirno ( 1 )|Centro de HematologÃ­a y Medicina Interna ( 1 )|D'Or Institute for Research and Education ( 1 )|Deutsches Rotes Kreuz DRK-Blutspendedienst Baden-Wurttemberg-Hessen ( 1 )|Emory University ( 1 )|Erasmus Medical Center ( 1 )|Federal Research Clinical Center of Federal Medical & Biological Agency, Russia ( 1 )|Fondazione Policlinico Universitario Agostino Gemelli IRCCS ( 1 )|Foundation IRCCS San Matteo Hospital ( 1 )|FundaciÃ³n FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la PromociÃ³n de la Salud y la Ciencia ( 1 )|Fundacion Arturo Lopez Perez ( 1 )|Fundacion Infant ( 1 )|Grifols Therapeutics LLC ( 1 )|Grupo Mexicano para el Estudio de la Medicina Intensiva ( 1 )|Heinrich-Heine University, Duesseldorf ( 1 )|Helsinki University Central Hospital ( 1 )|Henry Ford Health System ( 1 )|Hilton Pharma ( 1 )|Hospital de Clinicas de Porto Alegre ( 1 )|Hospital de Infecciosas Francisco Javier Muniz ( 1 )|Hospital Italiano de Buenos Aires ( 1 )|Hospital San Jose Tec de Monterrey ( 1 )|Hvidovre University Hospital ( 1 )|Indonesia University ( 1 )|Inova Health Care Services ( 1 )|Institute for Transfusion Medicine of RNM ( 1 )|Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado ( 1 )|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran ( 1 )|IRCCS Policlinico S. Matteo ( 1 )|Istituto Superiore di SanitÃ  ( 1 )|King Fahad Specialist Hospital Dammam ( 1 )|Lahore General Hospital ( 1 )|Makerere University ( 1 )|Max Healthcare Insititute Limited ( 1 )|Mazandaran University of Medical Sciences ( 1 )|McMaster University ( 1 )|Medical College of Wisconsin ( 1 )|Ministry of Health and Population, Egypt ( 1 )|National and Kapodistrian University of Athens ( 1 )|Northside Hospital, Inc. ( 1 )|Norton Healthcare ( 1 )|NYU Langone Health ( 1 )|Orthosera Kft. ( 1 )|Pontificia Universidad Catolica de Chile ( 1 )|Rigshospitalet, Denmark ( 1 )|Royal College of Surgeons in Ireland - Medical University of Bahrain ( 1 )|Saint Francis Care ( 1 )|Science Valley Research Institute ( 1 )|Skane University Hospital ( 1 )|South African National Blood Service ( 1 )|South Valley University ( 1 )|Stanford University ( 1 )|Stony Brook University ( 1 )|The Camelot Foundation ( 1 )|The Christ Hospital ( 1 )|The Methodist Hospital Research Institute ( 1 )|Thomas Jefferson University ( 1 )|TriHealth Inc. ( 1 )|UNICEF ( 1 )|Universidad Nacional de AsunciÃ³n ( 1 )|Universidad Peruana Cayetano Heredia ( 1 )|Universitaire Ziekenhuizen Leuven ( 1 )|University Hospital, Basel, Switzerland ( 1 )|University Hospital, Geneva ( 1 )|University of California, San Francisco ( 1 )|University of Catanzaro ( 1 )|University of Chicago ( 1 )|University of Erlangen-NÃ¼rnberg Medical School ( 1 )|University of Illinois at Chicago ( 1 )|University of Liege ( 1 )|University of Mississippi Medical Center ( 1 )|University of New Mexico ( 1 )|University of North Carolina, Chapel Hill ( 1 )|University of Oxford ( 1 )|University of Sao Paulo General Hospital ( 1 )|University of the Philippines ( 1 )|University of Virginia ( 1 )|University of Zurich ( 1 )|VA Office of Research and Development ( 1 )|Vanderbilt University Medical Center ( 1 )|Vinmec Research Institute of Stem Cell and Gene Technology ( 1 )|West Virginia University ( 1 )|William Beaumont Hospitals ( 1 )",7.11,103,42
Drug,apixaban,6,2021-03-12,0,0,0,4,2,Brazilian Clinical Research Institute ( 1 )|Cambridge University Hospitals NHS Foundation Trust ( 1 )|Duke University ( 1 )|Icahn School of Medicine at Mount Sinai ( 1 )|Universidade do Vale do Sapucai ( 1 )|University of Pittsburgh ( 1 ),7.006,6,1
Drug,n-acetylcysteine,6,2020-05-01,1,2,2,1,0,Ain Shams University ( 1 )|Baylor College of Medicine ( 1 )|Cambridge Health Alliance ( 1 )|Memorial Sloan Kettering Cancer Center ( 1 )|Prisma Health-Upstate ( 1 )|Unidad Temporal COVID-19 en Centro Citibanamex ( 1 ),7.006,6,NA
Biological,inactivated covid-19 vaccine,6,2021-10-04,0,0,0,1,5,"China National Biotec Group Company Limited ( 4 )|Sinovac Biotech Co., Ltd ( 2 )",7.006,2,NA
Biological,biological,4,2020-09-04,1,1,1,1,0,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd. ( 1 )|BioNTech SE ( 1 )|Hospital Central Militar ( 1 )|Kanuni Sultan Suleyman Training and Research Hospital ( 1 )",7.004,4,NA
Drug,sodium,4,2021-03-09,1,0,2,0,1,IRCCS Azienda Ospedaliero-Universitaria di Bologna ( 1 )|Marinomed Biotech AG ( 1 )|Region Skane ( 1 )|The TIMI Study Group ( 1 ),7.004,4,NA
Biological,bacille calmette-guã©rin (bcg),4,2020-05-04,0,0,0,2,2,TASK Applied Science ( 2 )|UMC Utrecht ( 2 ),7.004,2,NA
Drug,cyclosporine,4,2020-07-20,0,1,2,0,1,Baylor College of Medicine ( 1 )|Instituto de InvestigaciÃ³n Sanitaria de la FundaciÃ³n JimÃ©nez DÃ­az ( 1 )|QuantumLeap Healthcare Collaborative ( 1 )|University of Pennsylvania ( 1 ),7.004,4,NA
Drug,clopidogrel,3,2020-04-23,1,0,1,0,1,Imperial College London ( 1 )|The TIMI Study Group ( 1 )|University of Milan ( 1 ),7.003,3,NA
Drug,distilled water,3,2021-01-19,1,0,1,0,1,"FundaciÃ³n para el Fomento de la InvestigaciÃ³n Sanitaria y BiomÃ©dica de la Comunitat Valenciana ( 1 )|King Abdulaziz University ( 1 )|University of California, San Francisco ( 1 )",7.003,3,7
Behavioral,experimental group,3,2021-03-17,1,0,1,0,1,"ISPA - Instituto Universitario de Ciencias Psicologicas, Sociais e da Vida ( 1 )|Sinovac Biotech Co., Ltd ( 1 )|University of Texas Southwestern Medical Center ( 1 )",7.003,3,NA
Biological,adsorbed covid-19 (inactivated) vaccine,3,2021-02-15,0,0,0,1,2,Butantan Institute ( 2 )|D'Or Institute for Research and Education ( 1 ),7.003,2,NA
Drug,ravulizumab,3,2020-04-28,0,0,0,2,1,Alexion Pharmaceuticals ( 1 )|Brigham and Women's Hospital ( 1 )|Cambridge University Hospitals NHS Foundation Trust ( 1 ),7.003,3,4
Drug,sevoflurane,3,2020-04-21,0,0,0,2,1,FundaciÃ³n para la InvestigaciÃ³n del Hospital ClÃ­nico de Valencia ( 1 )|Sunnybrook Health Sciences Centre ( 1 )|University of Zurich ( 1 ),7.003,3,NA
Biological,oral polio vaccine,2,2020-09-04,0,0,0,1,1,"Bandim Health Project ( 1 )|NeuroActiva, Inc. ( 1 )",7.002,2,NA
